NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;9;2:38.810;5;2:39.963;9;2:40.538;4;2:41.603;3;;0;;0;;0;;0;;0;;0;2:40.228;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;11;2:31.805;3;2:32.193;10;2:32.616;4;2:32.822;2;2:33.157;6;2:33.157;5;2:33.852;9;;0;;0;;0;2:32.800;
22;Copeland Motorsports;Toyota GR86;Am;Jeremy;Fletcher;10;2:31.459;5;2:31.549;2;2:31.774;8;2:32.266;10;2:34.167;9;2:34.898;3;2:34.972;4;;0;;0;;0;2:33.012;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;11;2:31.507;3;2:32.166;6;2:32.197;2;2:32.916;10;2:33.033;11;2:33.044;4;2:34.505;7;2:34.975;5;;0;;0;2:33.042;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;11;2:32.285;6;2:32.415;5;2:32.838;3;2:32.864;2;2:33.378;4;2:36.535;8;2:36.672;7;;0;;0;;0;2:33.855;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;10;2:31.147;3;2:31.234;4;2:31.274;2;2:31.975;8;2:32.160;7;2:32.317;9;;0;;0;;0;;0;2:31.684;
47;TechSport;Toyota GR86;Am;Parker;DeLong;11;2:32.730;5;2:32.923;4;2:33.134;10;2:33.181;3;2:33.225;2;2:33.759;8;2:34.230;7;2:34.536;6;2:36.126;9;;0;2:33.760;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;10;2:33.104;6;2:33.189;8;2:33.504;2;2:33.591;3;2:34.234;9;2:34.331;5;2:35.675;4;2:38.274;7;;0;;0;2:34.487;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;10;2:31.268;3;2:31.411;5;2:32.318;2;2:32.929;8;2:33.002;9;2:35.323;4;;0;;0;;0;;0;2:32.708;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;11;2:40.070;7;2:40.521;6;2:40.827;10;2:40.902;5;2:42.113;2;2:42.433;3;2:42.559;4;2:42.591;9;2:44.838;8;;0;2:41.872;
58;Copeland Motorsports;Toyota GR86;Am;Jack;Murchison;11;2:33.130;4;2:33.643;2;2:33.801;3;2:34.030;5;2:34.351;9;2:34.980;6;2:35.268;10;;0;;0;;0;2:34.171;
71;TechSport;Toyota GR86;Am;Christian;Weir;11;2:33.165;3;2:33.206;10;2:33.429;4;2:33.463;2;2:33.479;9;2:33.850;5;2:34.250;7;2:35.350;6;2:36.194;8;;0;2:34.042;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;11;2:31.357;10;2:31.727;5;2:31.833;6;2:32.007;3;2:32.022;4;2:32.639;2;2:38.830;7;;0;;0;;0;2:32.916;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;12;2:34.562;4;2:34.656;12;2:34.692;9;2:34.737;10;2:34.820;11;2:34.938;8;2:35.135;3;2:35.330;2;2:35.443;6;2:35.667;7;2:34.998;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;11;2:36.322;10;2:37.093;8;2:37.238;9;2:37.474;3;2:37.593;5;2:37.678;6;2:37.719;7;2:38.028;4;2:38.567;2;;0;2:37.523;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;11;2:32.661;11;2:32.873;10;2:33.102;3;2:33.222;5;2:33.322;4;2:33.849;2;;0;;0;;0;;0;2:33.171;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;10;2:34.195;7;2:34.202;9;2:34.623;6;2:35.236;2;2:35.286;3;2:35.309;10;2:37.142;8;;0;;0;;0;2:35.141;
98;TechSport;Toyota GR86;Am;Max;Schweid;11;2:32.238;5;2:32.469;10;2:32.753;11;2:33.070;2;2:33.204;4;2:33.215;3;2:33.463;9;2:34.327;6;;0;;0;2:33.092;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;12;2:32.702;3;2:32.915;9;2:32.974;7;2:33.069;2;2:33.097;5;2:33.251;4;2:34.071;8;2:34.106;10;2:34.325;11;2:35.883;6;2:33.639;
