NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
11;1;6;3:03.047;0;B;45.105;0;1:00.609;0;1:17.333;0;128.1;16:18.977;09:11:18.977;0:45.105;1:00.609;1:17.333;211.4;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;45.105;60.609;77.333;19.378;19.378;25.727;45.105;28.677;1:13.782;31.932;1:45.714;30.765;2:16.479;46.568;3:03.047;
113;1;1;3:00.548;0;;1:07.910;0;1:00.043;0;52.595;0;129.9;3:00.548;08:58:00.548;1:07.910;1:00.043;0:52.595;210.1;Ethan Tovo;0:00:24.217;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;67.910;60.043;52.595;41.174;41.174;26.736;1:07.910;30.095;1:38.005;29.948;2:07.953;28.065;2:36.018;24.530;3:00.548;
113;1;2;2:32.581;0;;43.932;0;58.282;0;50.367;0;153.7;5:33.129;09:00:33.129;0:43.932;0:58.282;0:50.367;212.2;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.932;58.282;50.367;18.462;18.462;25.470;43.932;28.892;1:12.824;29.390;1:42.214;26.869;2:09.083;23.498;2:32.581;
113;1;3;2:31.684;2;;43.898;2;57.655;2;50.131;2;154.6;8:04.813;09:03:04.813;0:43.898;0:57.655;0:50.131;216.0;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.898;57.655;50.131;18.400;18.400;25.498;43.898;28.267;1:12.165;29.388;1:41.553;26.572;2:08.125;23.559;2:31.684;
113;1;4;2:34.095;0;;44.339;0;59.482;0;50.274;0;152.2;10:38.908;09:05:38.908;0:44.339;0:59.482;0:50.274;216.0;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;44.339;59.482;50.274;18.593;18.593;25.746;44.339;28.541;1:12.880;30.941;1:43.821;26.599;2:10.420;23.675;2:34.095;
113;1;5;2:32.010;0;;44.083;0;57.715;0;50.212;0;154.3;13:10.918;09:08:10.918;0:44.083;0:57.715;0:50.212;214.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;44.083;57.715;50.212;18.587;18.587;25.496;44.083;28.268;1:12.351;29.447;1:41.798;26.676;2:08.474;23.536;2:32.010;
113;1;6;2:33.171;0;;43.991;0;58.216;0;50.964;0;153.1;15:44.089;09:10:44.089;0:43.991;0:58.216;0:50.964;215.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;43.991;58.216;50.964;18.446;18.446;25.545;43.991;28.444;1:12.435;29.772;1:42.207;26.709;2:08.916;24.255;2:33.171;
12;1;1;3:23.147;0;B;1:12.042;0;1:01.670;0;1:09.435;0;115.4;3:23.147;08:58:23.147;1:12.042;1:01.670;1:09.435;206.1;John Lennon;0:00:26.339;Am;Legends;BSI Racing;Toyota Gazoo Racing;GF;72.042;61.670;69.435;44.511;44.511;27.531;1:12.042;30.878;1:42.920;30.792;2:13.712;28.149;2:41.861;41.286;3:23.147;
12;1;2;3:02.623;0;;1:10.950;0;59.412;0;52.261;0;128.4;6:25.770;09:01:25.770;1:10.950;0:59.412;0:52.261;205.3;John Lennon;0:00:44.332;Am;Legends;BSI Racing;Toyota Gazoo Racing;GF;70.950;59.412;52.261;44.494;44.494;26.456;1:10.950;29.434;1:40.384;29.978;2:10.362;27.770;2:38.132;24.491;3:02.623;
12;1;3;2:37.616;0;;46.178;0;59.293;0;52.145;0;148.8;9:03.386;09:04:03.386;0:46.178;0:59.293;0:52.145;206.1;John Lennon;;Am;Legends;BSI Racing;Toyota Gazoo Racing;GF;46.178;59.293;52.145;19.987;19.987;26.191;46.178;29.501;1:15.679;29.792;1:45.471;27.536;2:13.007;24.609;2:37.616;
12;1;4;2:38.308;0;;46.267;0;59.750;0;52.291;0;148.1;11:41.694;09:06:41.694;0:46.267;0:59.750;0:52.291;208.1;John Lennon;;Am;Legends;BSI Racing;Toyota Gazoo Racing;GF;46.267;59.750;52.291;19.889;19.889;26.378;46.267;29.785;1:16.052;29.965;1:46.017;27.512;2:13.529;24.779;2:38.308;
12;1;5;2:36.935;0;;46.045;0;59.154;0;51.736;2;149.4;14:18.629;09:09:18.629;0:46.045;0:59.154;0:51.736;209.3;John Lennon;;Am;Legends;BSI Racing;Toyota Gazoo Racing;GF;46.045;59.154;51.736;19.731;19.731;26.314;46.045;29.418;1:15.463;29.736;1:45.199;27.172;2:12.371;24.564;2:36.935;
12;1;6;2:36.657;2;;45.850;2;58.663;2;52.144;0;149.7;16:55.286;09:11:55.286;0:45.850;0:58.663;0:52.144;208.1;John Lennon;;Am;Legends;BSI Racing;Toyota Gazoo Racing;FF;45.850;58.663;52.144;19.600;19.600;26.250;45.850;29.189;1:15.039;29.474;1:44.513;27.411;2:11.924;24.733;2:36.657;
13;1;1;2:49.648;0;;59.513;0;58.667;0;51.468;0;138.2;2:49.648;08:57:49.648;0:59.513;0:58.667;0:51.468;208.1;Westin Workman;0:00:13.556;Am;;BSI Racing;Toyota Gazoo Racing;GF;59.513;58.667;51.468;31.977;31.977;27.536;59.513;29.100;1:28.613;29.567;1:58.180;27.228;2:25.408;24.240;2:49.648;
13;1;2;2:32.221;0;;44.387;0;57.742;0;50.092;2;154.1;5:21.869;09:00:21.869;0:44.387;0:57.742;0:50.092;213.0;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;44.387;57.742;50.092;18.755;18.755;25.632;44.387;28.317;1:12.704;29.425;1:42.129;26.592;2:08.721;23.500;2:32.221;
13;1;3;2:31.773;0;;43.854;0;57.606;0;50.313;0;154.5;7:53.642;09:02:53.642;0:43.854;0:57.606;0:50.313;213.0;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;43.854;57.606;50.313;18.393;18.393;25.461;43.854;28.147;1:12.001;29.459;1:41.460;26.698;2:08.158;23.615;2:31.773;
13;1;4;2:36.739;0;;48.234;0;58.257;0;50.248;0;149.6;10:30.381;09:05:30.381;0:48.234;0:58.257;0:50.248;214.3;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;48.234;58.257;50.248;19.321;19.321;28.913;48.234;29.059;1:17.293;29.198;1:46.491;26.605;2:13.096;23.643;2:36.739;
13;1;5;2:31.478;2;;43.828;2;57.336;2;50.314;0;154.8;13:01.859;09:08:01.859;0:43.828;0:57.336;0:50.314;214.3;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;43.828;57.336;50.314;18.477;18.477;25.351;43.828;28.142;1:11.970;29.194;1:41.164;26.619;2:07.783;23.695;2:31.478;
13;1;6;2:52.507;0;B;45.250;0;58.901;0;1:08.356;0;136.0;15:54.366;09:10:54.366;0:45.250;0:58.901;1:08.356;212.2;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;FF;45.250;58.901;68.356;19.590;19.590;25.660;45.250;29.118;1:14.368;29.783;1:44.151;26.844;2:10.995;41.512;2:52.507;
15;1;1;2:56.866;0;;1:04.593;0;1:01.133;0;51.140;0;132.6;2:56.866;08:57:56.866;1:04.593;1:01.133;0:51.140;212.2;Brett Kowalski;0:00:20.566;Am;;TechSport;Toyota Gazoo Racing;GF;64.593;61.133;51.140;37.856;37.856;26.737;1:04.593;31.195;1:35.788;29.938;2:05.726;27.238;2:32.964;23.902;2:56.866;
15;1;2;2:33.170;2;;44.677;0;58.140;0;50.353;2;153.1;5:30.036;09:00:30.036;0:44.677;0:58.140;0:50.353;218.2;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;44.677;58.140;50.353;18.675;18.675;26.002;44.677;28.738;1:13.415;29.402;1:42.817;26.861;2:09.678;23.492;2:33.170;
15;1;3;2:34.530;0;;45.369;0;57.893;0;51.268;0;151.8;8:04.566;09:03:04.566;0:45.369;0:57.893;0:51.268;218.2;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;45.369;57.893;51.268;18.950;18.950;26.419;45.369;28.601;1:13.970;29.292;1:43.262;26.800;2:10.062;24.468;2:34.530;
15;1;4;2:34.778;0;;44.650;0;57.504;2;52.624;0;151.5;10:39.344;09:05:39.344;0:44.650;0:57.504;0:52.624;215.1;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;44.650;57.504;52.624;18.713;18.713;25.937;44.650;28.173;1:12.823;29.331;1:42.154;28.322;2:10.476;24.302;2:34.778;
15;1;5;3:02.157;0;B;44.149;2;57.852;0;1:20.156;0;128.7;13:41.501;09:08:41.501;0:44.149;0:57.852;1:20.156;214.3;Brett Kowalski;;Am;;TechSport;Toyota Gazoo Racing;GF;44.149;57.852;80.156;18.584;18.584;25.565;44.149;28.292;1:12.441;29.560;1:42.001;27.891;2:09.892;52.265;3:02.157;
18;1;1;3:45.212;0;;1:32.696;0;1:14.537;0;57.979;0;104.1;3:45.212;08:58:45.212;1:32.696;1:14.537;0:57.979;186.2;Rutledge Wood;0:00:36.565;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;GF;92.696;74.537;57.979;1:00.731;1:00.731;31.965;1:32.696;36.423;2:09.119;38.114;2:47.233;31.887;3:19.120;26.092;3:45.212;
18;1;2;2:42.773;0;;46.614;0;1:02.373;0;53.786;0;144.1;6:27.985;09:01:27.985;0:46.614;1:02.373;0:53.786;201.1;Rutledge Wood;;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;GF;46.614;62.373;53.786;19.846;19.846;26.768;46.614;29.799;1:16.413;32.574;1:48.987;28.870;2:17.857;24.916;2:42.773;
18;1;3;2:39.815;2;;45.947;2;1:00.898;0;52.970;0;146.7;9:07.800;09:04:07.800;0:45.947;1:00.898;0:52.970;205.3;Rutledge Wood;;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;GF;45.947;60.898;52.970;19.469;19.469;26.478;45.947;29.541;1:15.488;31.357;1:46.845;28.156;2:15.001;24.814;2:39.815;
18;1;4;2:39.832;0;;46.234;0;1:00.537;2;53.061;0;146.7;11:47.632;09:06:47.632;0:46.234;1:00.537;0:53.061;204.2;Rutledge Wood;;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;GF;46.234;60.537;53.061;19.592;19.592;26.642;46.234;29.156;1:15.390;31.381;1:46.771;28.382;2:15.153;24.679;2:39.832;
18;1;5;2:40.082;0;;46.543;0;1:00.753;0;52.786;2;146.5;14:27.714;09:09:27.714;0:46.543;1:00.753;0:52.786;204.2;Rutledge Wood;;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;GF;46.543;60.753;52.786;19.922;19.922;26.621;46.543;28.924;1:15.467;31.829;1:47.296;28.107;2:15.403;24.679;2:40.082;
18;1;6;2:47.707;0;;46.517;0;1:07.404;0;53.786;0;139.8;17:15.421;09:12:15.421;0:46.517;1:07.404;0:53.786;203.0;Rutledge Wood;;Am;Legends;Precision Racing LA;Toyota Gazoo Racing;FF;46.517;67.404;53.786;19.884;19.884;26.633;46.517;32.342;1:18.859;35.062;1:53.921;28.868;2:22.789;24.918;2:47.707;
2;1;1;2:57.759;0;;1:05.726;0;1:01.119;0;50.914;0;131.9;2:57.759;08:57:57.759;1:05.726;1:01.119;0:50.914;213.0;Will Robusto;0:00:21.855;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;65.726;61.119;50.914;39.300;39.300;26.426;1:05.726;30.687;1:36.413;30.432;2:06.845;26.816;2:33.661;24.098;2:57.759;
2;1;2;2:31.561;0;;43.857;0;57.720;0;49.984;0;154.7;5:29.320;09:00:29.320;0:43.857;0:57.720;0:49.984;214.3;Will Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;43.857;57.720;49.984;18.469;18.469;25.388;43.857;28.462;1:12.319;29.258;1:41.577;26.671;2:08.248;23.313;2:31.561;
2;1;3;2:31.688;0;;43.675;0;57.520;0;50.493;0;154.6;8:01.008;09:03:01.008;0:43.675;0:57.520;0:50.493;217.3;Will Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;43.675;57.520;50.493;18.355;18.355;25.320;43.675;28.336;1:12.011;29.184;1:41.195;26.764;2:07.959;23.729;2:31.688;
2;1;4;2:33.796;0;;43.622;0;59.252;0;50.922;0;152.5;10:34.804;09:05:34.804;0:43.622;0:59.252;0:50.922;212.2;Will Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;43.622;59.252;50.922;18.405;18.405;25.217;43.622;28.657;1:12.279;30.595;1:42.874;27.030;2:09.904;23.892;2:33.796;
2;1;5;2:30.774;2;;43.494;2;57.485;2;49.795;2;155.5;13:05.578;09:08:05.578;0:43.494;0:57.485;0:49.795;218.2;Will Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;43.494;57.485;49.795;18.239;18.239;25.255;43.494;28.240;1:11.734;29.245;1:40.979;26.501;2:07.480;23.294;2:30.774;
2;1;6;3:01.764;0;B;43.808;0;59.521;0;1:18.435;0;129.0;16:07.342;09:11:07.342;0:43.808;0:59.521;1:18.435;211.4;Will Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;43.808;59.521;78.435;18.407;18.407;25.401;43.808;29.702;1:13.510;29.819;1:43.329;29.053;2:12.382;49.382;3:01.764;
21;1;1;2:52.682;0;;1:01.176;0;1:00.360;0;51.146;0;135.8;2:52.682;08:57:52.682;1:01.176;1:00.360;0:51.146;213.0;Ford Koch;0:00:10.297;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;61.176;60.360;51.146;28.715;28.715;32.461;1:01.176;30.398;1:31.574;29.962;2:01.536;27.042;2:28.578;24.104;2:52.682;
21;1;2;2:31.867;0;;44.207;0;57.821;0;49.839;2;154.4;5:24.549;09:00:24.549;0:44.207;0:57.821;0:49.839;216.0;Ford Koch;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.207;57.821;49.839;18.730;18.730;25.477;44.207;28.595;1:12.802;29.226;1:42.028;26.527;2:08.555;23.312;2:31.867;
21;1;3;2:31.501;2;;43.862;2;57.384;2;50.255;0;154.8;7:56.050;09:02:56.050;0:43.862;0:57.384;0:50.255;216.0;Ford Koch;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;43.862;57.384;50.255;18.434;18.434;25.428;43.862;28.211;1:12.073;29.173;1:41.246;26.644;2:07.890;23.611;2:31.501;
21;1;4;2:34.532;0;;44.096;0;57.474;0;52.962;0;151.8;10:30.582;09:05:30.582;0:44.096;0:57.474;0:52.962;208.1;Ford Koch;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.096;57.474;52.962;18.350;18.350;25.746;44.096;28.249;1:12.345;29.225;1:41.570;28.622;2:10.192;24.340;2:34.532;
21;1;5;2:32.238;0;;44.437;0;57.732;0;50.069;0;154.1;13:02.820;09:08:02.820;0:44.437;0:57.732;0:50.069;218.2;Ford Koch;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.437;57.732;50.069;19.004;19.004;25.433;44.437;28.363;1:12.800;29.369;1:42.169;26.580;2:08.749;23.489;2:32.238;
21;1;6;3:10.999;0;B;46.440;0;1:04.789;0;1:19.770;0;122.8;16:13.819;09:11:13.819;0:46.440;1:04.789;1:19.770;207.3;Ford Koch;;Am;;Copeland Motorsports;Toyota Gazoo Racing;FF;46.440;64.789;79.770;19.171;19.171;27.269;46.440;32.361;1:18.801;32.428;1:51.229;29.207;2:20.436;50.563;3:10.999;
22;1;1;2:52.865;0;;1:00.829;0;1:00.139;0;51.897;0;135.7;2:52.865;08:57:52.865;1:00.829;1:00.139;0:51.897;212.2;Jeremy Fletcher;0:00:11.309;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;60.829;60.139;51.897;31.274;31.274;29.555;1:00.829;30.103;1:30.932;30.036;2:00.968;27.160;2:28.128;24.737;2:52.865;
22;1;2;2:31.155;0;;43.889;0;57.495;0;49.771;2;155.2;5:24.020;09:00:24.020;0:43.889;0:57.495;0:49.771;215.1;Jeremy Fletcher;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;43.889;57.495;49.771;18.404;18.404;25.485;43.889;28.423;1:12.312;29.072;1:41.384;26.372;2:07.756;23.399;2:31.155;
22;1;3;2:30.842;0;;43.919;0;57.044;0;49.879;0;155.5;7:54.862;09:02:54.862;0:43.919;0:57.044;0:49.879;215.1;Jeremy Fletcher;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;43.919;57.044;49.879;18.415;18.415;25.504;43.919;28.079;1:11.998;28.965;1:40.963;26.334;2:07.297;23.545;2:30.842;
22;1;4;2:37.640;0;;46.813;0;1:00.047;0;50.780;0;148.8;10:32.502;09:05:32.502;0:46.813;1:00.047;0:50.780;216.0;Jeremy Fletcher;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;46.813;60.047;50.780;18.627;18.627;28.186;46.813;30.666;1:17.479;29.381;1:46.860;26.753;2:13.613;24.027;2:37.640;
22;1;5;2:30.447;2;;43.579;2;56.999;3;49.869;0;155.9;13:02.949;09:08:02.949;0:43.579;0:56.999;0:49.869;218.2;Jeremy Fletcher;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;43.579;56.999;49.869;18.263;18.263;25.316;43.579;28.049;1:11.628;28.950;1:40.578;26.406;2:06.984;23.463;2:30.447;
22;1;6;2:55.009;0;B;45.694;0;58.302;0;1:11.013;0;134.0;15:57.958;09:10:57.958;0:45.694;0:58.302;1:11.013;215.1;Jeremy Fletcher;;Am;;Copeland Motorsports;Toyota Gazoo Racing;FF;45.694;58.302;71.013;19.367;19.367;26.327;45.694;28.769;1:14.463;29.533;1:43.996;26.894;2:10.890;44.119;2:55.009;
31;1;1;3:00.214;0;;1:07.334;0;1:00.296;0;52.584;0;130.1;3:00.214;08:58:00.214;1:07.334;1:00.296;0:52.584;210.1;Jackson Tovo;0:00:23.352;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;67.334;60.296;52.584;40.817;40.817;26.517;1:07.334;29.497;1:36.831;30.799;2:07.630;28.149;2:35.779;24.435;3:00.214;
31;1;2;2:32.124;0;;44.156;0;57.815;0;50.153;0;154.2;5:32.338;09:00:32.338;0:44.156;0:57.815;0:50.153;215.1;Jackson Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;44.156;57.815;50.153;18.460;18.460;25.696;44.156;28.655;1:12.811;29.160;1:41.971;26.735;2:08.706;23.418;2:32.124;
31;1;3;2:32.525;0;;43.718;0;57.537;2;51.270;0;153.8;8:04.863;09:03:04.863;0:43.718;0:57.537;0:51.270;220.4;Jackson Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.718;57.537;51.270;18.305;18.305;25.413;43.718;28.137;1:11.855;29.400;1:41.255;26.750;2:08.005;24.520;2:32.525;
31;1;4;2:33.004;0;;44.999;0;58.130;0;49.875;2;153.3;10:37.867;09:05:37.867;0:44.999;0:58.130;0:49.875;220.4;Jackson Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;44.999;58.130;49.875;18.656;18.656;26.343;44.999;28.950;1:13.949;29.180;1:43.129;26.496;2:09.625;23.379;2:33.004;
31;1;5;2:31.741;2;;43.519;2;57.631;0;50.591;0;154.6;13:09.608;09:08:09.608;0:43.519;0:57.631;0:50.591;218.2;Jackson Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.519;57.631;50.591;18.141;18.141;25.378;43.519;28.317;1:11.836;29.314;1:41.150;27.034;2:08.184;23.557;2:31.741;
31;1;6;2:34.940;0;;43.853;0;1:00.201;0;50.886;0;151.4;15:44.548;09:10:44.548;0:43.853;1:00.201;0:50.886;214.3;Jackson Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;43.853;60.201;50.886;18.312;18.312;25.541;43.853;29.509;1:13.362;30.692;1:44.054;27.145;2:11.199;23.741;2:34.940;
41;1;1;2:53.869;0;;1:01.779;0;1:00.921;0;51.169;0;134.9;2:53.869;08:57:53.869;1:01.779;1:00.921;0:51.169;211.4;Jenson Sofronas;0:00:12.020;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;61.779;60.921;51.169;30.754;30.754;31.025;1:01.779;30.399;1:32.178;30.522;2:02.700;27.198;2:29.898;23.971;2:53.869;
41;1;2;2:33.762;0;;44.809;0;58.338;0;50.615;0;152.5;5:27.631;09:00:27.631;0:44.809;0:58.338;0:50.615;215.1;Jenson Sofronas;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.809;58.338;50.615;18.632;18.632;26.177;44.809;28.893;1:13.702;29.445;1:43.147;26.645;2:09.792;23.970;2:33.762;
41;1;3;2:33.654;0;;44.621;0;58.074;0;50.959;0;152.6;8:01.285;09:03:01.285;0:44.621;0:58.074;0:50.959;216.0;Jenson Sofronas;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.621;58.074;50.959;18.712;18.712;25.909;44.621;28.661;1:13.282;29.413;1:42.695;26.740;2:09.435;24.219;2:33.654;
41;1;4;2:32.545;0;;44.256;0;57.860;0;50.429;2;153.7;10:33.830;09:05:33.830;0:44.256;0:57.860;0:50.429;213.0;Jenson Sofronas;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;44.256;57.860;50.429;18.676;18.676;25.580;44.256;28.456;1:12.712;29.404;1:42.116;26.760;2:08.876;23.669;2:32.545;
41;1;5;2:32.215;2;;43.980;0;57.755;2;50.480;0;154.1;13:06.045;09:08:06.045;0:43.980;0:57.755;0:50.480;212.2;Jenson Sofronas;;Am;;Copeland Motorsports;Toyota Gazoo Racing;GF;43.980;57.755;50.480;18.366;18.366;25.614;43.980;28.294;1:12.274;29.461;1:41.735;26.933;2:08.668;23.547;2:32.215;
41;1;6;3:04.950;0;B;43.943;2;1:01.171;0;1:19.836;0;126.8;16:10.995;09:11:10.995;0:43.943;1:01.171;1:19.836;209.3;Jenson Sofronas;;Am;;Copeland Motorsports;Toyota Gazoo Racing;FF;43.943;61.171;79.836;18.403;18.403;25.540;43.943;29.883;1:13.826;31.288;1:45.114;28.432;2:13.546;51.404;3:04.950;
