NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;6;2:27.363;5;2:27.375;2;2:27.677;4;2:29.141;3;;0;;0;;0;;0;;0;;0;2:27.889;
18;Precision Racing LA;Toyota GR86;Am;Rutledge;Wood;6;2:32.583;4;2:33.071;5;2:35.838;3;2:38.546;2;;0;;0;;0;;0;;0;;0;2:35.009;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;6;2:27.647;2;2:28.982;3;2:29.309;6;2:29.616;4;2:30.157;5;;0;;0;;0;;0;;0;2:29.142;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:28.128;2;2:28.220;6;2:29.314;5;2:29.541;4;2:29.791;3;;0;;0;;0;;0;;0;2:28.998;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;6;2:28.118;6;2:29.688;2;;0;;0;;0;;0;;0;;0;;0;;0;2:28.903;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;5;2:26.900;3;2:26.971;4;2:27.658;2;;0;;0;;0;;0;;0;;0;;0;2:27.176;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;6;2:28.887;4;2:29.293;5;2:29.384;2;2:29.431;3;2:29.576;6;;0;;0;;0;;0;;0;2:29.314;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:31.531;6;2:32.606;5;;0;;0;;0;;0;;0;;0;;0;;0;2:32.068;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;7;2:27.132;6;2:27.201;4;2:27.434;2;2:28.400;3;2:28.677;5;;0;;0;;0;;0;;0;2:27.768;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;6;2:33.130;6;2:33.253;5;2:35.562;3;2:35.639;2;2:35.874;4;;0;;0;;0;;0;;0;2:34.691;
71;TechSport;Toyota GR86;Am;Christian;Weir;4;2:29.376;3;2:35.177;2;;0;;0;;0;;0;;0;;0;;0;;0;2:32.276;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:27.495;3;2:27.609;5;2:27.707;2;2:27.844;4;2:31.152;6;;0;;0;;0;;0;;0;2:28.361;
73;Precision Racing LA;Toyota GR86;Am;Mike;Lamarra;6;2:30.506;5;2:31.629;2;2:34.810;4;2:38.563;3;;0;;0;;0;;0;;0;;0;2:33.877;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;5;2:28.106;2;2:39.823;3;;0;;0;;0;;0;;0;;0;;0;;0;2:33.964;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;6;2:31.925;6;2:32.293;3;2:33.382;5;2:33.574;4;2:36.418;2;;0;;0;;0;;0;;0;2:33.518;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;6;2:32.638;4;2:32.786;5;2:32.990;2;2:33.871;3;;0;;0;;0;;0;;0;;0;2:33.071;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;6;2:29.282;3;2:29.334;5;2:29.434;2;2:31.039;4;;0;;0;;0;;0;;0;;0;2:29.772;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;6;2:28.105;2;2:28.318;4;2:28.661;3;2:28.795;6;2:28.899;5;;0;;0;;0;;0;;0;2:28.555;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;6;2:29.148;2;2:29.403;5;2:29.739;3;2:29.917;4;2:30.160;6;;0;;0;;0;;0;;0;2:29.673;
98;TechSport;Toyota GR86;Am;Max;Schweid;6;2:28.254;6;2:28.449;5;2:28.546;4;2:28.666;2;2:43.895;3;;0;;0;;0;;0;;0;2:31.562;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;6;2:28.686;3;2:30.097;6;;0;;0;;0;;0;;0;;0;;0;;0;2:29.391;
