NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;9;2:33.243;8;2:33.311;4;2:33.383;3;2:33.507;9;2:37.624;2;2:37.672;7;;0;;0;;0;;0;2:34.790;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;9;2:34.165;3;2:34.235;4;2:34.455;7;2:34.762;2;2:35.327;9;2:35.816;8;;0;;0;;0;;0;2:34.793;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;8;2:32.750;4;2:32.923;7;2:33.574;2;2:33.783;3;;0;;0;;0;;0;;0;;0;2:33.257;
47;TechSport;Toyota GR86;Am;Parker;DeLong;8;2:32.848;6;2:33.757;3;2:34.139;8;2:34.176;2;2:37.247;7;;0;;0;;0;;0;;0;2:34.433;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;9;2:34.874;9;2:35.156;7;2:35.265;8;2:35.369;4;2:35.473;3;2:35.963;2;;0;;0;;0;;0;2:35.350;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;9;2:32.201;7;2:32.268;4;2:32.716;3;2:32.934;2;2:35.297;8;;0;;0;;0;;0;;0;2:33.083;
57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jeff;Curry;7;2:43.431;7;2:45.459;6;;0;;0;;0;;0;;0;;0;;0;;0;2:44.445;
58;Copeland Motorsports;Toyota GR86;Am;Jack;Murchison;9;2:34.797;2;2:35.343;4;2:35.456;8;2:35.655;3;2:35.745;7;;0;;0;;0;;0;;0;2:35.399;
71;TechSport;Toyota GR86;Am;Christian;Weir;6;2:34.133;6;2:34.660;5;2:35.549;4;;0;;0;;0;;0;;0;;0;;0;2:34.780;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;2:32.730;7;2:32.840;4;2:32.848;3;2:33.184;9;2:33.241;8;2:34.354;2;;0;;0;;0;;0;2:33.199;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;9;2:35.626;7;2:36.065;8;2:36.325;2;2:36.653;4;2:37.711;9;2:39.589;3;;0;;0;;0;;0;2:36.994;
86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Andrew;Gilleland;9;2:37.732;9;2:38.751;8;2:39.040;4;2:39.073;3;2:40.113;7;;0;;0;;0;;0;;0;2:38.941;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;9;2:34.158;3;2:34.356;7;2:34.649;4;2:34.883;9;2:35.235;8;2:38.502;2;;0;;0;;0;;0;2:35.297;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;8;2:34.833;8;2:35.282;7;2:36.640;4;2:37.709;3;2:38.808;2;;0;;0;;0;;0;;0;2:36.654;
98;TechSport;Toyota GR86;Am;Max;Schweid;8;2:33.391;6;2:33.496;7;2:39.492;8;;0;;0;;0;;0;;0;;0;;0;2:35.459;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;9;2:33.142;9;2:33.676;4;2:34.581;8;2:34.968;3;2:36.218;7;2:36.714;2;;0;;0;;0;;0;2:34.883;
