POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
15;88;6;1:53.195;+1.089;+0.036;122.1;15;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
16;71;10;1:53.412;+1.306;+0.217;121.8;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
17;89;10;1:53.644;+1.538;+0.232;121.6;15;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti*;;;ITA;;;;;;;
18;50;8;1:53.741;+1.635;+0.097;121.5;14;Mashore Autobody;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Casey;Mashore;;;USA;;;;;;;
19;67;15;1:53.927;+1.821;+0.186;121.3;15;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Shea;Holbrook;;;USA;;;;;;;
20;15;7;1:54.247;+2.141;+0.320;120.9;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
21;14;4;1:54.248;+2.142;+0.001;120.9;13;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
22;11;16;1:54.265;+2.159;+0.017;120.9;16;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis*;;;USA;;;;;;;
23;3;9;1:54.322;+2.216;+0.057;120.9;16;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos*;;;USA;;;;;;;
24;51;11;1:54.513;+2.407;+0.191;120.7;15;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
25;73;14;1:54.725;+2.619;+0.212;120.4;15;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra*;;;USA;;;;;;;
26;5;14;1:54.856;+2.750;+0.131;120.3;16;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
27;93;6;1:54.866;+2.760;+0.010;120.3;13;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
28;17;13;1:54.891;+2.785;+0.025;120.3;15;van der Steur Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Miles;Hewitt;;;USA;;;;;;;
29;03;13;1:55.352;+3.246;+0.461;119.8;15;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
30;80;13;1:56.776;+4.670;+1.424;118.3;14;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
31;12;13;1:57.998;+5.892;+1.222;117.1;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon*;;;USA;;;;;;;
